stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_desc,stop_timezone,wheelchair_boarding,level_id,platform_code
2370-6733,,Akuotninkai,54.859548,25.639871,6733,https://www.visimarsrutai.lt/#/stop/result?stopId=6733,0,,,,0,,
2370-6906,,Antanavas,54.878472,25.113055,6906,https://www.visimarsrutai.lt/#/stop/result?stopId=6906,0,,,,0,,
2370-28227,,Balžio st.,54.793002,25.429192,28227,https://www.visimarsrutai.lt/#/stop/result?stopId=28227,0,,,,0,,
2370-29043,,Didieji Lygainiai,54.564865,25.070363,29043,https://www.visimarsrutai.lt/#/stop/result?stopId=29043,0,,,,0,,
2370-29044,,Juodbaliai,54.583739,25.097825,29044,https://www.visimarsrutai.lt/#/stop/result?stopId=29044,0,,,,0,,
2370-29588,,Įsruties,54.710058,25.182706,29588,https://www.visimarsrutai.lt/#/stop/result?stopId=29588,0,,,,0,,
2370-33111,,Juodegliai,54.796533,25.463589,33111,https://www.visimarsrutai.lt/#/stop/result?stopId=33111,0,,,,0,,
2370-33114,,SB „Beržynas“,54.797106,25.482769,33114,https://www.visimarsrutai.lt/#/stop/result?stopId=33114,0,,,,0,,
2370-7008,,Karvys,54.871328,25.14813,7008,https://www.visimarsrutai.lt/#/stop/result?stopId=7008,0,,,,0,,
2370-7092,,Danilava,54.990941,25.565705,7092,https://www.visimarsrutai.lt/#/stop/result?stopId=7092,0,,,,0,,
2370-7756,,Užukėnė,54.584287,25.512015,7756,https://www.visimarsrutai.lt/#/stop/result?stopId=7756,0,,,,0,,
2370-7784,,Gudžiai,54.583637,25.614056,7784,https://www.visimarsrutai.lt/#/stop/result?stopId=7784,0,,,,0,,
2370-8529,,Kalveliai,54.635711,25.68005,8529,https://www.visimarsrutai.lt/#/stop/result?stopId=8529,0,,,,0,,
2370-9029,,Pikeliškės,54.869495,25.253186,9029,https://www.visimarsrutai.lt/#/stop/result?stopId=9029,0,,,,0,,
2370-9064,,Mikniškių st.,54.448953,25.529559,9064,https://www.visimarsrutai.lt/#/stop/result?stopId=9064,0,,,,0,,
2370-11800,,Daržininkai,54.637186,25.368499,11800,https://www.visimarsrutai.lt/#/stop/result?stopId=11800,0,,,,0,,
2370-10727,,Kriaučiūnai,54.711805,25.151367,10727,https://www.visimarsrutai.lt/#/stop/result?stopId=10727,0,,,,0,,
2370-10731,,Medininkų st.,54.537537,25.645334,10731,https://www.visimarsrutai.lt/#/stop/result?stopId=10731,0,,,,0,,
2370-10746,,Čekoniškės,54.736099,25.080433,10746,https://www.visimarsrutai.lt/#/stop/result?stopId=10746,0,,,,0,,
2370-10931,,16-sis kilometras,54.616365,25.480507,10931,https://www.visimarsrutai.lt/#/stop/result?stopId=10931,0,,,,0,,
2370-10932,,Pučkalaukis,54.856303,25.461918,10932,https://www.visimarsrutai.lt/#/stop/result?stopId=10932,0,,,,0,,
2370-11830,,Skrudėnai,54.87065,25.165197,11830,https://www.visimarsrutai.lt/#/stop/result?stopId=11830,0,,,,0,,
2370-11832,,40 km,54.863345,25.2141,11832,https://www.visimarsrutai.lt/#/stop/result?stopId=11832,0,,,,0,,
2370-12697,,Pranciškonys,54.873621,25.308145,12697,https://www.visimarsrutai.lt/#/stop/result?stopId=12697,0,,,,0,,
2370-13665,,Daukšiai,54.98195,25.597436,13665,https://www.visimarsrutai.lt/#/stop/result?stopId=13665,0,,,,0,,
2370-14272,,Kaušiadala,54.923475,25.236999,14272,https://www.visimarsrutai.lt/#/stop/result?stopId=14272,0,,,,0,,
2370-14299,,16-sis kilometras,54.616177,25.482101,14299,https://www.visimarsrutai.lt/#/stop/result?stopId=14299,0,,,,0,,
2370-14742,,Vilkinė,54.852009,25.718358,14742,https://www.visimarsrutai.lt/#/stop/result?stopId=14742,0,,,,0,,
2370-15060,,Pikeliškės,54.869654,25.252464,15060,https://www.visimarsrutai.lt/#/stop/result?stopId=15060,0,,,,0,,
2370-15966,,Veriškės,54.897379,25.477021,15966,https://www.visimarsrutai.lt/#/stop/result?stopId=15966,0,,,,0,,
2370-16379,,Medelynas,54.651122,25.426522,16379,https://www.visimarsrutai.lt/#/stop/result?stopId=16379,0,,,,0,,
2370-16605,,Bezdonių sankryža,54.831557,25.517151,16605,https://www.visimarsrutai.lt/#/stop/result?stopId=16605,0,,,,0,,
2370-17279,,Trakų Vokė,54.62368,25.11,17279,https://www.visimarsrutai.lt/#/stop/result?stopId=17279,0,,iš miesto,,0,,
2370-17390,,Katiliškės,54.60612,25.31308,17390,https://www.visimarsrutai.lt/#/stop/result?stopId=17390,0,,link centro,,0,,
2370-17967,,Smalinės st.,54.70855,25.18792,17967,https://www.visimarsrutai.lt/#/stop/result?stopId=17967,0,,link centro,,0,,
2370-17274,,Padekaniškės,54.71059,25.16035,17274,https://www.visimarsrutai.lt/#/stop/result?stopId=17274,0,,iš centro,,0,,
2370-17311,,Vanaginė,54.77539,25.27291,17311,https://www.visimarsrutai.lt/#/stop/result?stopId=17311,0,,link Riešės,,0,,
2370-17114,,Kriaučiūnai,54.71244,25.14919,17114,https://www.visimarsrutai.lt/#/stop/result?stopId=17114,0,,iš miesto,,0,,
2370-11808,,Ožionių st.,54.471642,25.488933,11808,https://www.visimarsrutai.lt/#/stop/result?stopId=11808,0,,,,0,,
2370-6911,,Jusinė,54.938261,25.646951,6911,https://www.visimarsrutai.lt/#/stop/result?stopId=6911,0,,,,0,,
2370-24491,,Vanaginė,54.773933,25.272026,24491,https://www.visimarsrutai.lt/#/stop/result?stopId=24491,0,,,,0,,
2370-27223,,Guriai,54.662414,25.342655,27223,https://www.visimarsrutai.lt/#/stop/result?stopId=27223,0,,,,0,,
2370-17476,,Papiškės,54.71643,25.12997,17476,https://www.visimarsrutai.lt/#/stop/result?stopId=17476,0,,link miesto,,0,,
2370-11406,,Paberžė,54.939645,25.237702,11406,https://www.visimarsrutai.lt/#/stop/result?stopId=11406,0,,,,0,,
2370-3770,,Dvyliškis,54.96624,25.639364,3770,https://www.visimarsrutai.lt/#/stop/result?stopId=3770,0,,,,0,,
2370-3793,,Stražninkai,54.858775,25.706072,3793,https://www.visimarsrutai.lt/#/stop/result?stopId=3793,0,,,,0,,
2370-3831,,Sapiegiškės,54.951223,25.666214,3831,https://www.visimarsrutai.lt/#/stop/result?stopId=3831,0,,,,0,,
2370-3840,,Vilkinė,54.851845,25.718909,3840,https://www.visimarsrutai.lt/#/stop/result?stopId=3840,0,,,,0,,
2370-3869,,Stakinės,54.941225,25.488168,3869,https://www.visimarsrutai.lt/#/stop/result?stopId=3869,0,,,,0,,
2370-3917,,Arklėnai,54.55498,25.501863,3917,https://www.visimarsrutai.lt/#/stop/result?stopId=3917,0,,,,0,,
2370-21520,,9 kilometras,54.657548,25.375856,21520,https://www.visimarsrutai.lt/#/stop/result?stopId=21520,0,,,,0,,
2370-3991,,Aleksandriškės,54.924129,25.484463,3991,https://www.visimarsrutai.lt/#/stop/result?stopId=3991,0,,,,0,,
2370-4012,,Krikščioniškės,54.880988,25.465357,4012,https://www.visimarsrutai.lt/#/stop/result?stopId=4012,0,,,,0,,
2370-4025,,Raistelis,54.930041,25.485366,4025,https://www.visimarsrutai.lt/#/stop/result?stopId=4025,0,,,,0,,
2370-4082,,Užuprūdžiai,54.563956,25.50613,4082,https://www.visimarsrutai.lt/#/stop/result?stopId=4082,0,,,,0,,
2370-22003,,Norvaišai,54.603703,25.675875,22003,https://www.visimarsrutai.lt/#/stop/result?stopId=22003,0,,,,0,,
2370-22021,,Šalkiškės,54.495327,25.569444,22021,https://www.visimarsrutai.lt/#/stop/result?stopId=22021,0,,,,0,,
2370-24421,,Šilas,54.782202,25.38334,24421,https://www.visimarsrutai.lt/#/stop/result?stopId=24421,0,,,,0,,
2370-24425,,Veržuvos,54.762364,25.374144,24425,https://www.visimarsrutai.lt/#/stop/result?stopId=24425,0,,,,0,,
2370-4758,,Jokūnbonys,55.004086,25.3666,4758,https://www.visimarsrutai.lt/#/stop/result?stopId=4758,0,,,,0,,
2370-4773,,Minkeliai,54.947637,25.489826,4773,https://www.visimarsrutai.lt/#/stop/result?stopId=4773,0,,,,0,,
