stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
5543,"Keipūnų st.",54.501879,25.609439,,,5543,"https://www.visimarsrutai.lt/#/stop/result?stopId=5543",,,,,,,,,,
5544,"Didieji Medininkai",54.573437,25.741847,,,5544,"https://www.visimarsrutai.lt/#/stop/result?stopId=5544",,,,,,,,,,
5559,Našiūnai,55.019784,25.521516,,,5559,"https://www.visimarsrutai.lt/#/stop/result?stopId=5559",,,,,,,,,,
5728,Pušinė,54.836024,25.552122,,,5728,"https://www.visimarsrutai.lt/#/stop/result?stopId=5728",,,,,,,,,,
5732,Gaukeliškis,55.010470,25.380497,,,5732,"https://www.visimarsrutai.lt/#/stop/result?stopId=5732",,,,,,,,,,
5733,"Miškų urėdija",54.837651,25.472933,,,5733,"https://www.visimarsrutai.lt/#/stop/result?stopId=5733",,,,,,,,,,
5737,Ponasai,54.963164,25.497744,,,5737,"https://www.visimarsrutai.lt/#/stop/result?stopId=5737",,,,,,,,,,
5741,"1-oji Žalioji",54.552095,25.378587,,,5741,"https://www.visimarsrutai.lt/#/stop/result?stopId=5741",,,,,,,,,,
5744,Savičiūnai,54.579680,25.594586,,,5744,"https://www.visimarsrutai.lt/#/stop/result?stopId=5744",,,,,,,,,,
5745,"3-osios Kabiškės",54.875675,25.453674,,,5745,"https://www.visimarsrutai.lt/#/stop/result?stopId=5745",,,,,,,,,,
5747,Bezdonys,54.806258,25.520723,,,5747,"https://www.visimarsrutai.lt/#/stop/result?stopId=5747",,,,,,,,,,
5748,Markiškės,54.738035,25.670057,,,5748,"https://www.visimarsrutai.lt/#/stop/result?stopId=5748",,,,,,,,,,
5754,Alejūnai,54.852561,24.913827,,,5754,"https://www.visimarsrutai.lt/#/stop/result?stopId=5754",,,,,,,,,,
